No,KIP,Status Orang Tua,Penghasilan Orang Tua,Data Dinas Sosial,Target
1,4,"0,5",1,1,1
2,0,1,0,"0,5",0
3,4,1,"0,75",1,1
4,0,1,0,"0,5",0
5,4,"0,5","0,75",1,1
6,0,1,0,"0,5",0
7,4,"0,75","0,5","0,75",1
8,0,1,0,"0,5",0
9,4,"0,5",1,1,1
10,0,"0,5",0,"0,5",0
11,0,1,0,"0,5",0
12,0,"0,5",0,"0,5",0
13,0,"0,75",0,"0,5",0
14,0,"0,5",0,"0,5",0
15,0,"0,75",0,"0,5",0
16,4,"0,5",1,1,1
17,0,1,0,"0,5",0
18,0,"0,5",0,"0,5",0
19,4,"0,75","0,5","0,75",1
20,4,1,"0,75",1,1
21,4,"0,5","0,75",1,1
22,0,1,0,"0,5",0
23,4,"0,5",1,1,1
24,0,1,0,"0,5",0
25,4,1,1,1,1
26,4,"0,75","0,5","0,75",1
27,4,1,"0,75",1,1
28,0,1,0,"0,5",0
29,4,"0,75","0,5","0,75",1
30,0,"0,5",0,"0,5",0
31,0,"0,75",0,"0,5",0
32,0,1,0,"0,5",0
33,4,"0,75","0,75",1,1
34,0,"0,5",0,"0,5",0
35,0,1,0,"0,5",0
36,4,1,"0,5","0,75",1
37,0,"0,75",0,"0,5",0
38,4,1,"0,5","0,75",1
39,0,1,0,"0,5",0
40,4,1,1,1,1
41,0,1,0,"0,5",0
42,0,"0,75",0,"0,5",0
43,0,"0,75",0,"0,5",0
44,0,1,0,"0,5",0
45,4,"0,5","0,75",1,1
46,4,"0,5","0,5","0,75",1
47,4,"0,5","0,75",1,1
48,4,"0,5","0,75",1,1
49,4,"0,75","0,5","0,75",1
50,4,"0,5",1,1,1
51,4,1,1,1,1
52,4,1,"0,75",1,1
53,4,"0,5","0,5","0,75",1
54,4,"0,5","0,75",1,1
55,0,1,0,"0,5",0
56,0,"0,75",0,"0,5",0
57,0,"0,75",0,"0,5",0
58,4,"0,75",1,1,1
59,4,"0,5",1,1,1
60,0,1,0,"0,5",0
61,4,"0,5","0,75",1,1
62,4,"0,75","0,5","0,75",1
63,4,"0,75",1,1,1
64,4,"0,5",1,1,1
65,0,"0,75",0,"0,5",0
66,0,"0,75",0,"0,5",0
67,4,"0,75","0,75",1,1
68,4,"0,75",1,1,1
69,0,1,0,"0,5",0
70,4,"0,5","0,75",1,1
71,4,"0,75",1,1,1
72,4,1,"0,5","0,75",1
73,4,"0,5","0,5","0,75",1
74,0,"0,75",0,"0,5",0
75,0,"0,75",0,"0,5",0
76,4,"0,5",1,1,1
77,0,1,0,"0,5",0
78,0,"0,5",0,"0,5",0
79,4,1,"0,5","0,75",1
80,4,"0,5","0,5","0,75",1
81,4,"0,5","0,75",1,1
82,4,"0,5","0,75",1,1
83,0,"0,75",0,"0,5",0
84,4,"0,5",1,1,1
85,0,"0,5",0,"0,5",0
86,4,"0,5","0,75",1,1
87,4,1,"0,5","0,75",1
88,0,"0,5",0,"0,5",0
89,4,"0,75","0,75",1,1
90,4,1,"0,75",1,1
91,0,"0,5",0,"0,5",0
92,0,"0,75",0,"0,5",0
93,4,"0,75",1,1,1
94,0,"0,5",0,"0,5",0
95,0,"0,75",0,"0,5",0
96,0,"0,75",0,"0,5",0
97,4,"0,75",1,1,1
98,4,"0,75","0,5","0,75",1
99,0,"0,5",0,"0,5",0
100,4,1,"0,5","0,75",1
101,0,1,0,"0,5",0
102,4,1,1,1,1
103,4,1,1,1,1
104,4,"0,5","0,5","0,75",1
105,4,"0,75","0,5","0,75",1
106,0,"0,5",0,"0,5",0
107,0,"0,75",0,"0,5",0
108,4,"0,5","0,75",1,1
109,0,"0,5",0,"0,5",0
110,0,"0,5",0,"0,5",0
111,0,"0,5",0,"0,5",0
112,0,"0,75",0,"0,5",0
113,4,1,1,1,1
114,4,"0,75",1,1,1
115,4,"0,75","0,75",1,1
116,0,"0,75",0,"0,5",0
117,0,"0,5",0,"0,5",0
118,0,1,0,"0,5",0
119,0,"0,5",0,"0,5",0
120,0,1,0,"0,5",0
121,4,"0,5","0,75",1,1
122,4,"0,5","0,75",1,1
123,0,"0,75",0,"0,5",0
124,4,"0,5",1,1,1
125,0,"0,5",0,"0,5",0
126,4,"0,5",1,1,1
127,4,"0,75","0,5","0,75",1
128,0,1,0,"0,5",0
129,0,1,0,"0,5",0
130,0,1,0,"0,5",0
131,4,"0,5","0,5","0,75",1
132,0,"0,5",0,"0,5",0
133,4,"0,5",1,1,1
134,0,"0,5",0,"0,5",0
135,4,1,"0,5","0,75",1
136,0,"0,5",0,"0,5",0
137,4,1,"0,75",1,1
138,4,"0,5","0,5","0,75",1
139,4,"0,5","0,75",1,1
140,0,1,0,"0,5",0
141,4,"0,75","0,75",1,1
142,4,"0,5",1,1,1
143,4,"0,5","0,75",1,1
144,4,1,"0,75",1,1
145,0,"0,5",0,"0,5",0
146,4,"0,75","0,5","0,75",1
147,0,"0,75",0,"0,5",0
148,4,1,1,1,1
149,0,"0,5",0,"0,5",0
150,4,"0,75","0,5","0,75",1
